region,zone,district,pop_2017,pop_2018,pop_2019,pop_2020
region_03,zone_22,district_098,50052.05763,51703.77553,53410.00012,55172.53013
region_03,zone_80,district_224,65828.3941,68000.7311,70244.75523,72562.83215
region_03,zone_22,district_035,218633.6517,225848.5622,233301.5647,241000.5164
region_03,zone_80,district_241,69704.25323,72004.49359,74380.64188,76835.20306
region_03,zone_61,district_132,159850.4966,165125.563,170574.7065,176203.6719
region_03,zone_22,district_088,101072.4424,104407.833,107853.2915,111412.4501
region_03,zone_79,district_067,233268.2292,240966.0808,248917.9615,257132.2542
region_03,zone_59,district_116,109775.4847,113398.0757,117140.2122,121005.8393
region_03,zone_59,district_027,65623.5066,67789.08234,70026.12204,72336.98409
region_03,zone_74,district_216,304132.0946,314168.4538,324536.0127,335245.7012
region_03,zone_08,district_126,79946.0771,82584.29764,85309.57947,88124.79559
region_03,zone_64,district_043,183543.4815,189600.4164,195857.2301,202320.5187
region_03,zone_22,district_226,120181.3886,124147.3745,128244.2378,132476.2977
region_03,zone_61,district_287,68729.12482,70997.18594,73340.09308,75760.31615
region_03,zone_59,district_276,71805.83774,74175.43039,76623.21959,79151.78584
region_03,zone_74,district_062,88164.53077,91073.96028,94079.40097,97184.0212
region_03,zone_80,district_005,93881.82681,96979.9271,100180.2647,103486.2134
region_03,zone_08,district_026,91164.72969,94173.16577,97280.88024,100491.1493
region_03,zone_59,district_123,14014.81418,14477.30305,14955.05405,15448.57083
region_03,zone_74,district_203,59142.77088,61094.48232,63110.60024,65193.25005
region_03,zone_72,district_111,38669.32502,39945.41275,41263.61137,42625.31054
region_03,zone_74,district_189,129912.269,134199.3739,138627.9532,143202.6757
region_03,zone_79,district_095,36624.70093,37833.31606,39081.81549,40371.5154
region_03,zone_15,district_275,64605.87042,66737.86415,68940.21366,71215.24072
region_03,zone_77,district_022,146049.9216,150869.569,155848.2648,160991.2575
region_03,zone_77,district_246,11332.57343,11706.54835,12092.86445,12491.92898
region_03,zone_59,district_229,106825.445,110350.6847,113992.2573,117754.0018
region_03,zone_08,district_152,42779.82709,44191.56138,45649.88291,47156.32904
region_03,zone_15,district_074,125539.0689,129681.8582,133961.3595,138382.0843
region_03,zone_64,district_070,20685.1346,21367.74404,22072.87959,22801.28462
region_03,zone_79,district_184,30386.25953,31389.0061,32424.8433,33494.86313
region_03,zone_61,district_202,137497.3568,142034.7696,146721.917,151563.7402
region_03,zone_59,district_266,47741.33485,49316.7989,50944.25327,52625.41363
region_03,zone_74,district_250,197826.9448,204355.234,211098.9567,218065.2223
region_03,zone_15,district_294,137400.4391,141934.6536,146618.4971,151456.9075
region_03,zone_15,district_149,64887.27192,67028.55188,69240.49408,71525.4304
region_03,zone_72,district_100,22052.18471,22779.90681,23531.64373,24308.18798
region_03,zone_79,district_179,78121.6433,80699.65753,83362.74622,86113.71685
region_03,zone_74,district_015,12637.56219,13054.60175,13485.4036,13930.42192
region_03,zone_72,district_114,86380.90443,89231.47428,92176.11293,95217.92465
region_03,zone_61,district_161,103341.5076,106751.7773,110274.586,113913.6473
region_03,zone_22,district_252,89657.4039,92616.09823,95672.42947,98829.61965
region_03,zone_08,district_080,145404.6535,150203.0071,155159.7063,160279.9766
region_03,zone_80,district_230,21440.92288,22148.47333,22879.37295,23634.39226
region_03,zone_59,district_049,108385.4804,111962.2013,115656.9539,119473.6334
region_03,zone_77,district_133,21825.19318,22545.42456,23289.42357,24057.97455
region_03,zone_74,district_282,16861.13495,17417.5524,17992.33163,18586.07857
region_03,zone_08,district_279,8677.53766,8963.896403,9259.704984,9565.275249
region_03,zone_61,district_064,122459.8055,126500.9791,130675.5114,134987.8033
region_03,zone_61,district_127,128283.371,132516.7222,136889.7741,141407.1366
region_03,zone_15,district_290,69641.34172,71939.506,74313.5097,76765.85552
region_03,zone_08,district_151,77485.72695,80042.75594,82684.16688,85412.74439
region_03,zone_64,district_044,136745.8193,141258.4313,145919.9596,150735.3182
